SRR11105739	cortex-p028-cb_220
SRR11105740	cortex-p028-cb_219
SRR11105742	cortex-p028-cb_217
SRR11105743	cortex-p028-cb_216
SRR11105744	cortex-p028-cb_215
SRR11105745	cortex-p028-cb_214
SRR11105746	cortex-p028-cb_213
SRR11105747	cortex-p028-cb_212
SRR11105748	cortex-p028-cb_211
SRR11105749	cortex-p001-cb_070
SRR11105750	cortex-p028-cb_210
SRR11105751	cortex-p028-cb_209
SRR11105752	cortex-p028-cb_208
SRR11105753	cortex-p028-cb_207
SRR11105754	cortex-p028-cb_206
SRR11105755	cortex-p028-cb_205
SRR11105756	cortex-p028-cb_204
SRR11105757	cortex-p028-cb_203
SRR11105758	cortex-p028-cb_202
SRR11105759	cortex-p028-cb_201
SRR11105760	cortex-p001-cb_069
SRR11105761	cortex-p028-cb_200
SRR11105762	cortex-p028-cb_083
SRR11105763	cortex-p028-cb_082
SRR11105764	cortex-p028-cb_081
SRR11105765	cortex-p001-cb_057
SRR11105766	cortex-p028-cb_080
SRR11105767	cortex-p028-cb_079
SRR11105768	cortex-p028-cb_078
SRR11105769	cortex-p028-cb_077
SRR11105770	cortex-p028-cb_076
SRR11105771	cortex-p028-cb_075
SRR11105773	cortex-p028-cb_073
SRR11105774	cortex-p028-cb_072
SRR11105775	cortex-p028-cb_071
SRR11105776	cortex-p001-cb_056
SRR11105777	cortex-p028-cb_070
SRR11105778	cortex-p028-cb_069
SRR11105779	cortex-p028-cb_068
SRR11105780	cortex-p028-cb_067
SRR11105781	cortex-p028-cb_066
SRR11105782	cortex-p028-cb_065
SRR11105783	cortex-p028-cb_064
SRR11105784	cortex-p028-cb_063
SRR11105785	cortex-p028-cb_062
SRR11105786	cortex-p028-cb_061
SRR11105788	cortex-p028-cb_060
SRR11105789	cortex-p028-cb_059
SRR11105790	cortex-p028-cb_058
SRR11105791	cortex-p028-cb_057
SRR11105792	cortex-p028-cb_056
SRR11105793	cortex-p028-cb_055
SRR11105794	cortex-p028-cb_025
SRR11105795	cortex-p028-cb_024
SRR11105797	cortex-p028-cb_022
SRR11105798	cortex-p028-cb_021
SRR11105800	cortex-p001-cb_006
SRR11105801	cortex-p028-cb_020
SRR11105804	cortex-p028-cb_017
SRR11105805	cortex-p028-cb_016
SRR11105806	cortex-p028-cb_015
SRR11105807	cortex-p028-cb_014
SRR11105808	cortex-p028-cb_013
SRR11105809	cortex-p028-cb_012
SRR11105812	cortex-p028-cb_010
SRR11105813	cortex-p028-cb_009
SRR11105814	cortex-p028-cb_008
SRR11105815	cortex-p028-cb_007
SRR11105816	cortex-p028-cb_006
SRR11105817	cortex-p028-cb_005
SRR11105818	cortex-p028-cb_004
SRR11105819	cortex-p028-cb_003
SRR11105820	cortex-p028-cb_002
SRR11105821	cortex-p028-cb_001
SRR11105823	cortex-p007-cb_192
SRR11105824	cortex-p007-cb_191
SRR11105827	cortex-p001-cb_037
SRR11105828	cortex-p007-cb_072
SRR11105829	cortex-p007-cb_071
SRR11105830	cortex-p007-cb_070
SRR11105831	cortex-p007-cb_069
SRR11105832	cortex-p007-cb_068
SRR11105833	cortex-p007-cb_067
SRR11105834	cortex-p007-cb_066
SRR11105835	cortex-p007-cb_065
SRR11105836	cortex-p007-cb_064
SRR11105838	cortex-p001-cb_036
SRR11105839	cortex-p007-cb_062
SRR11105841	cortex-p007-cb_060
SRR11105842	cortex-p007-cb_059
SRR11105843	cortex-p007-cb_058
SRR11105844	cortex-p007-cb_057
SRR11105845	cortex-p007-cb_056
SRR11105846	cortex-p007-cb_055
SRR11105847	cortex-p007-cb_054
SRR11105848	cortex-p007-cb_053
SRR11105849	cortex-p001-cb_035
SRR11105850	cortex-p007-cb_052
SRR11105851	cortex-p007-cb_051
SRR11105852	cortex-p007-cb_050
SRR11105853	cortex-p007-cb_049
SRR11105854	cortex-p007-cb_048
SRR11105855	cortex-p007-cb_047
SRR11105856	cortex-p007-cb_046
SRR11105857	cortex-p007-cb_045
SRR11105859	cortex-p001-cb_011
SRR11105860	cortex-p001-cb_002
SRR11105861	cortex-p001-cb_001
SRR11105862	cortex-p056-cb_041
SRR11105864	cortex-p056-cb_040
SRR11105865	cortex-p056-cb_039
SRR11105866	cortex-p056-cb_038
